228243	-сопровождение типовых доработанных конфигураций 1С 8.3-разработка дополнительных отчетов и обработок -высшее техническое образование-стаж работы в качестве разработчика 1С:8.x от 1 года-понимание принципов работы управляемого приложения, управляемых форм-понимание методики бухгалтерского учёта в производстве
228243	. Выполняет работу по подготовке программ к отладке и проводит отладку.2.6. Осуществляет запуск отлаженных программ и ввод исходных данных, определяемых условиями поставленных задач.2.7. Проводит корректировку разработанной программы на основе анализа выходных данных. Знание конфигураций 1 С:ERP, управление предприятие 2.1, опыт написания конфигураций 1С 8(включая управляемые формы). Знание основ MS SQL, участие в крупных проектах. Интеграция с бухгалтерией, порталами поставщиков. Автоматизация складских и прочих внутренних процессов
228243	1 категории. Осуществляет подготовку проектов технических заданий на обслуживание средств вычислительной и оргтехники, по настройке и подготовке средств разграничения доступа к помещениям, информационным массивам баз данных, антивирусных средств при обработке информации, обеспечение бесперебойного функционирования информационных систем Высшее профильное образование (программирование), опыт работы по профилю.
228243	1,2 категории, разработка и поддержка ПО на С/С++ для ПК под управлением Windows в работизированных систмах, системах цифрового ТВ и дефектоскопии Профессионально-квалифиционные требования устанавливаются в соответствии с профессиональным стандартом
228243	1. Выполнение работ по созданию (модификации) ИС, автоматизирующих задачи организационного управления и бизнес-процессы.2. Выполнение работ по сопровождению ИС, автоматизирующих задачи организационного управления и бизнес-процессы. Большой опыт работы будет являться Вашим преимуществом;Техническое образование;
228243	1.Осуществляет разработку или модернизацию программного обеспечения в соответствии с внутренними распорядительными документами, определяющими порядок разработки и внедрения программного обеспечения на предприятии.2Осуществляет разработку и проектирование Java-приложений.3Участвует в обучении пользователей работе с программным обеспечением.4Участвует в разработке технической документации на разработанное программное обеспечение. 1. Знание языков программирования высокого уровня – Delphi (Object Pascal), Javascript - обязательно;2.. Знания HTML, XML, SOAP;3. Знания стандартов ISO 7816 (smart-карты), ISO 14443 (бесконтактные smart-карты) стандарта Mifare;4. Обязательное знание предметной области, связанной с особенностями работы смарт-карт: запись, чтение данных, особенности работы со считывателями смарт-карт
228243	1.Разрабатывает программы, обеспечивающие возможность выполнения алгоритма и соответственно поставленной задачи средствами вычислительной техники, проводит их тестирование и отладку.2. Разрабатывает технологию решения задачи по всем этапам обработки информации.3. Определяет информацию, подлежащую обработке средствами вычислительной техники, ее объемы, структуру, макеты и схемы ввода, обработки, хранения и вывода, методы ее контроля.4. Проводит корректировку разработанной программы на основе анализа выходных данных.5. Разрабатывает инструкции по работе с программами, оформляет необходимую техническую документацию.6. Осуществляет сопровождение внедрения программ и программных средств.7. Разрабатывает и внедряет системы автоматической проверки правильности программ, типовые и стандартные программные средства, составляет технологию обработки информации. Качественное и своевременное исполнение должностных обязанностей, согласно трудовому договору.
228243	2.1. На основе анализа математических моделей и алгоритмов решения экономических и других задач разрабатывает программы, обеспечивающие возможность выполнения алгоритма и соответственно поставленной задачи средствами вычислительной техники, проводит их тестирование и отладку.2.2. Разрабатывает технологию решения задачи по всем этапам обработки информации.2.3. Осуществляет выбор языка программирования для описания алгоритмов и структур данных.2.4. Определяет информацию, подлежащую обработке средствами вычислительной техники, ее объемы, структуру, макеты и схемы ввода, обработки, хранения и вывода, методы ее контроля.2.5. Выполняет работу по подготовке программ к отладке и проводит отладку.2.6. Осуществляет запуск отлаженных программ и ввод исходных данных, определяемых условиями поставленных задач.2.7. Проводит корректировку разработанной программы на основе анализа выходных данных.2.8. Разрабатывает инструк. Стажировка внедрение ПО в медицинских организациях округа. Организация  корректного взаимодействия с внешними информационными системами; Техническая поддержка ПО, консультирование пользователей. Написание технических  требований по разработке ПО. Опыт работы специалистом/инженером технической  поддержки; Способность быстро вникать в происходящее и находить суть проблемы; Постановка задач и формирование требований технических заданий; Знание языка структурированных запросов TSOL; Навыки по администрированию реляционных баз данных (postgreSOL, oracie datadase); Грамотная устная и письменная речь; Знание основ сетевых технологий; Приветствуется знание протокола SOAP. REST архитектуры. Согласно ТК РФ и внутренних нормативных-правовых актов
228243	2.1. На основе анализа математических моделей и алгоритмов решения экономических и других задач разрабатывает программы, обеспечивающие возможность выполнения алгоритма и соответственно поставленной задачи средствами вычислительной техники, проводит их тестирование и отладку.2.2. Разрабатывает технологию решения задачи по всем этапам обработки информации.2.3. Осуществляет выбор языка программирования для описания алгоритмов и структур данных.2.4. Определяет информацию, подлежащую обработке средствами вычислительной техники, ее объемы, структуру, макеты и схемы ввода, обработки, хранения и вывода, методы ее контроля.2.5. Выполняет работу по подготовке программ к отладке и проводит отладку.2.6. Осуществляет запуск отлаженных программ и ввод исходных данных, определяемых условиями поставленных задач.2.7. Проводит корректировку разработанной программы на основе анализа выходных данных.2.8. Разрабатывает инструкции по работе с программами, оформляет необходимую техническую документац Высшее профессиональное образование (инженер-программист), опыт работы
228243	DSP-программист знание Analog Devices Visual DSP
228243	IP-телефония, администрирование sip-сервера, медиа и  sms-шлюзов с опытом работы в должности программиста не менее 3-х лет, базовые знания классической и IP-телефонии, владение VB/VBA/VBS, ASP.NET
228243	IT программирование, сопровождение программ, программных продуктов. Опыт IT программирования, сопровождение программ, программных продуктов.
228243	Java разработчик под задачи разработки и развития backend приложений в области систем самообслуживания операторов связи Опыт разработки на Java, разработчик под задачи разработки и развития backend приложений в области систем самообслуживания оператора связи.
228243	jguery/аналог, knockout/angulatjs/аналог Client-side: CSS и HTML (CSS3 и HTML5 как плюс), понимание принципов адаптивной верстки, понимание ООП и шаблонов проектирования, знание: Java, Scala, Akka, ASP.NET MVS, WebAPL, знание других языков ( Linux, ruby), знакомство с Hadoop или Spark Опыт работы в группе разработчиков, jquery/аналог, знание: java, scala, akka, ASP.NET MVC, WebAPl, знание других языков(linux, ruby) знакомство с Hadoop или Spark.
228243	АДМИНИСТРИРОВАНИЕ 1С,ЛОКАЛЬНОЙ СЕТИ,РЕМОНТ КОМПЬЮТЕРНОЙ ТЕХНИКИ ЗНАНИЕ ПРОГРАММ 1С, "МЕДИАЛОГ",СТАЖ РАБОТЫ ОТ 1 ГОДА,БЕЗ ВРЕДНЫХ ПРИВЫЧЕК,ОТВЕТСТВЕННОСТЬ,ДОБРОСОВЕСТНОСТЬ,КОММУНИКАБЕЛЬНОСТЬ
228243	Автоматизации процессов обработки информации и внедрении автоматических программ управления в производственные процессы.Разработка, отладка и запуск автоматизированных программ. Разрабатывает инструкции и техническую документацию к разработанным программам, а также их сопровождению и унификации. Доработка программ под специфику деятельности предприятия, написание конфигураций с нуля, ответственность,исполнительность.
228243	Автоматизации процессов обработки информации и внедрении автоматических программ управления в производственные процессы.Разработка, отладка и запуск автоматизированных программ. Разрабатывает инструкции и техническую документацию к разработанным программам, а также их сопровождению и унификации. Программирование 1С, администрирование, обслуживание 1С, без вредных привычек, ответственность, исполнительность.
228243	Автоматизация объектов нефтегазодобывающих предприятий, внедрение новых программных продуктов для автоматизации и телемеханизации объектов добычи, сбора, подготовки, сдачи нефти, программного поддержания средств автоматики и телемеханики высшее профессиональное образование, опыт работы по специальности не менее 3-х лет
228243	Администрирование серверов MS SOL,разработки ETL-процедур в MS SSIS,отчеты, разработка скриптов с опытом работы в должности программиста не менее 3-х лет, базовые знания и практические навыки администрирования серверов MS SOL
228243	Администрирование серверов Windows, UNIX Server, знание протоколов TCP/IP, SOL, AD, систем хранения данных. Высшее профессиональное образование (бакавлариат, специалитет), опыт работы.
228243	Алгоритмизация и объектно-ориентированное программирование. Самостоятельное составление программ. Знание языков C#, C++, Python, Delphi, базовые знания алгоритмизации
228243	Анализ, оптимизация, документирование и поддержка программного обеспечения. Высшее образование (профильное). Опыт администрирования и программирования 1С 7.7, 8.х. Знание УРБД, POS-систем, Frontol, общие знания бух.учета. Опыт работы по должности от 5 лет. Опыт ремонта оргтехники. Креативность.
228243	Анализирует современные достижения науки и техники, передовой опыт для совершенствования и оптимизации использования компьютерной техники в работе школы; возможности использования современных прикладных компьютерных программ в школе;    состояние парка компьютерной техники школы и его программного обеспечения; эффективность и правильность использования парка компьютерной техники школы и программного обеспечения. без вредных привычек, отсутствие судимсоти, наличие регистрации (прописки)
228243	Бюджетирование IT-проектов, разработка и внедрение новых IT-решений. Обслуживание компьютеров, серверов, программного обеспечения и периферийных устройств. Обслуживание и сопровождение серверов и виртуальной инфраструктуры Hyper-V. Организация ремонта и закупка офисного оборудования и расходных материала. Организация и контроль резервного копированиясерверов и пользовательских данных. Сопровождение конфигураций 1С, обслуживание СКУД. Знание принципов построения корпоративных информационных систем предприятия. Понимание потенциальных угроз и методов обеспечения защиты информации. Умение работать с пользователями. Знание: Windows Server, Activ Directory, GPO, WSUS, Exchange, 1С:Предприятие. Высылать резюме на эл. почту.
228243	В СООТВ. С ДОЛЖ. ИНСТРУКЦИЕЙ, УТВЕРЖДЕННОЙ НА ДАННОМ ПРЕДПР. ВЫСШЕЕ ОБРАЗОВАНИЕ,ОПЫТ РАБОТЫ ПО СПЕЦИАЛЬНОСТИ ОТ 5 ЛЕТ, ИСПОЛНИТЕЛЬНОСТЬ, ДИСЦИПЛИНИРОВАННОСТЬ
228243	В СООТВ. С ДОЛЖ. ИНСТРУКЦИЕЙ, УТВЕРЖДЕННОЙ НА ДАННОМ ПРЕДПР. ДИСЦИПЛИНИРОВАННОСТЬ, ИСПОЛНИТЕЛЬНОСТЬ, ПУНКТУАЛЬНОСТЬ, ОБУЧАЕМОСТЬ
228243	В СООТВ. С ДОЛЖ. ИНСТРУКЦИЕЙ, УТВЕРЖДЕННОЙ НА ДАННОМ ПРЕДПР. ОПЫТ РАБОТЫ В ДОЛЖНОСТИ БОЛЕЕ 1 ГОДА, УВЕРЕННЫЙ ПОЛЬЗОВАТЕЛЬ ПК,ОТВЕТСТВЕННОСТЬ
228243	В СООТВ. С ДОЛЖ. ИНСТРУКЦИЕЙ, УТВЕРЖДЕННОЙ НА ДАННОМ ПРЕДПР. ОПЫТ РАБОТЫ ПО СПЕЦИАЛЬНОСТИ, ИСПОЛНИТЕЛЬНОСТЬ, ДИСЦИПЛИНИРОВАННОСТЬ
228243	В СООТВЕТСТВИИ С ДОЛЖНОСТНОЙ ИНСТРУКЦИЕЙ ИНЖЕНЕРА - ПРОГРАММИСТА НАВЫКИ ПРГРАММИРОВАНИЯ СРЕДНЕГО УРОВНЯ С ИСПОЛЬЗОВАНИЕМ VCL ИЛИ .NET FRAMEWORK, ПИСЬМЕННЫЙ ТЕХНИЧЕСКИЙ АНГЛИЙСКИЙ НА ХОРОШЕМ УРОВНЕ. ПРИВЕТСТВУЕТСЯ УМЕНИЕ СТРУКТУРИРОВАННО И ПОСЛЕДОВАТЕЛЬНО ИЗЛАГАТЬ МЫСЛИ В ТЕКСТЕ, УГЛУБЛЕННОЕ ЗНАНИЕ VCL ИЛИ .NET FRAMWORK
228243	В СООТВЕТСТВИИ С ДОЛЖНОСТНОЙ ИНСТРУКЦИЕЙ ИНЖЕНЕРА - ПРОГРАММИСТА Опыт разработки приложений для Android или IOS, Windows phone. Умение писать понятный структурированный код. Знание английского языка (свободное чтение технической литературы).
228243	В СООТВЕТСТВИИ С ДОЛЖНОСТНОЙ ИНСТРУКЦИЕЙ ИНЖЕНЕРА - ПРОГРАММИСТА ПРОФИЛЬНОЕ ОБРАЗОВАНИЕ. ОПЫТНЫЙ ПОЛЬЗОВАТЕЛЬ СПЕЦИАЛИЗИРОВАННЫХ ПРОГРАММ
228243	В СООТВЕТСТВИИ С ДОЛЖНОСТНОЙ ИНСТРУКЦИЕЙ ИНЖЕНЕРА - ПРОГРАММИСТА базовые навыки программирования; письменный английский на высоком уровне;умение четко и ясно выражать мысли в тексте
228243	В СООТВЕТСТВИИ С ДОЛЖНОСТНОЙ ИНСТРУКЦИЕЙ ИНЖЕНЕРА-ПРОГРАММИСТА знание  видов  программного  обеспечения;  опыт  работы по своему направлению.
228243	В СООТВЕТСТВИИ С ДОЛЖНОСТНОЙ ИНСТРУКЦИЕЙ ИСПОЛНЕНИЕ ОБЯЗАННОСТЕЙ СПЕЦИАЛИСТА СРЕДНЕГО УРОВНЯ КВАЛИФИКАЦИИ ОПЫТ РАБОТЫ В ВЫПОЛНЕНИИ ТЕХНИЧЕСКИХ И РОДСТВЕННЫХ ПО СОДЕРЖАНИЮ ОБЯЗАННОСТЕЙ
228243	В СООТВЕТСТВИИ С ДОЛЖНОСТНОЙ ИНСТРУКЦИЕЙ ИСПОЛНЕНИЕ ОБЯЗАННОСТЕЙ СПЕЦИАЛИСТА СРЕДНЕГО УРОВНЯ КВАЛИФИКАЦИИ ОПЫТ РАБОТЫ В ВЫПОЛНЕНИИ ТЕХНИЧЕСКИХ И РОДСТВЕННЫХ ПО СОДЕРЖАНИЮ ОБЯЗАННОСТЕЙ
228243	В СООТВЕТСТВИИ С ДОЛЖНОСТНОЙ ИНСТРУКЦИЕЙ, УТВЕРЖДЕННОЙ НА ДАННОМ ПРЕДПРИЯТИИ. ДИСЦИПЛИНИРОВАННОСТЬ, ИСПОЛНИТЕЛЬНОСТЬ, ПУНКТУАЛЬНОСТЬ, ОТВЕТСТВЕННОСТЬ.
228243	В должностные обязанности входит 3D-моделирование оснастки и штампов. Среднее проф./высшее проф. образование; опыт работы от 1 года (или без опыта работы выпускники ВУЗов)
228243	В должностные обязанности входит работа в 1С 8, сопровождение бухгалтерии. Опыт работы в 1С 8.2 не менее 1 года, опыт сопровождения бухгалтерии не менее 1 года.
